Time,SatTemp:,SatHumidity:,SatPressure:,SatAccel:,SatGpsNr:,SatLat:,SatLon:,SatGPSAlt:,PacketRssi:,BaseTemp:,BaseHumidity:,BasePressure:,TrackAltAngle:,TrackAziAngle,BaseGpsNr:,BaseLat:,BaseLon:,BaseGPSAlt:
37957,25.6,37.5,973.27,10.205,12.0,48.3991,13.45266,341.9,-110.0,24.2,35.8,974.306,-135.0,0.0,11.0,48.40145,13.44931,327.5
37957,25.6,37.5,973.263,10.19,12.0,48.3991,13.45266,341.9,-111.0,24.1,35.8,974.348,-135.0,0.0,11.0,48.40145,13.44932,327.5
37957,25.6,37.5,973.268,10.235,12.0,48.3991,13.45266,341.8,-111.0,24.1,35.7,974.319,-135.0,0.0,11.0,48.40145,13.44932,327.0
37958,25.6,37.5,973.265,10.227,12.0,48.3991,13.45266,341.8,-110.0,24.0,35.7,974.344,-135.0,0.0,11.0,48.40145,13.44932,327.0
37958,25.6,37.5,973.249,10.183,12.0,48.3991,13.45266,341.8,-110.0,24.0,35.7,974.315,-135.0,0.0,11.0,48.40144,13.44934,327.0
37958,25.6,37.5,973.272,10.22,12.0,48.3991,13.45266,341.8,-109.0,24.0,35.6,974.33,-135.0,0.0,9.0,48.40144,13.44934,326.2
37959,25.6,37.5,973.268,10.117,12.0,48.3991,13.45266,341.8,-109.0,23.9,35.7,974.344,-135.0,0.0,9.0,48.40144,13.44934,326.2
37959,25.6,37.5,973.282,10.133,12.0,48.3991,13.45266,341.8,-112.0,23.9,35.7,974.34,-135.0,0.0,9.0,48.40144,13.44936,326.2
37959,25.6,37.5,973.268,10.214,12.0,48.3991,13.45266,341.8,-111.0,23.9,35.9,974.36,-135.0,0.0,9.0,48.40144,13.44936,325.7
37960,25.6,37.5,973.273,10.161,12.0,48.3991,13.45266,341.8,-111.0,23.9,35.9,974.374,-135.0,0.0,9.0,48.40144,13.44936,325.7
37960,25.6,37.5,973.248,10.235,12.0,48.3991,13.45266,341.8,-112.0,23.8,36.1,974.307,-135.0,0.0,9.0,48.40143,13.44937,325.7
37960,25.6,37.5,973.294,10.168,12.0,48.3991,13.45266,341.8,-113.0,23.9,36.2,974.327,-135.0,0.0,9.0,48.40143,13.44937,325.3
37961,25.6,37.5,973.268,10.19,12.0,48.3991,13.45266,341.8,-113.0,23.8,36.3,974.34,-135.0,0.0,9.0,48.40143,13.44937,325.3
37961,25.6,37.5,973.27,10.22,12.0,48.3991,13.45266,341.8,-110.0,23.8,36.5,974.338,-135.0,0.0,9.0,48.40143,13.44938,325.3
37961,25.6,37.5,973.266,10.139,12.0,48.3991,13.45266,341.7,-112.0,23.8,36.6,974.33,-135.0,0.0,8.0,48.40143,13.44938,325.2
37962,25.6,37.5,973.313,10.132,12.0,48.3991,13.45266,341.7,-111.0,23.8,36.8,974.363,-135.0,0.0,8.0,48.40143,13.44938,325.2
37962,25.6,37.5,973.301,10.176,12.0,48.3991,13.45266,341.7,-114.0,23.8,37.0,974.352,-135.0,0.0,8.0,48.40144,13.44939,325.2
37962,25.6,37.5,973.28,10.22,12.0,48.3991,13.45266,341.8,-116.0,23.8,37.1,974.352,-135.0,0.0,9.0,48.40144,13.44939,324.9
37963,25.6,37.5,973.272,10.154,12.0,48.3991,13.45266,341.8,-113.0,23.8,37.3,974.364,-135.0,0.0,9.0,48.40144,13.44939,324.9
37963,25.6,37.5,973.285,10.147,12.0,48.3991,13.45266,341.8,-114.0,23.8,37.4,974.342,-135.0,0.0,9.0,48.40144,13.4494,324.9
37963,25.6,37.5,973.28,10.154,12.0,48.3991,13.45266,341.8,-112.0,23.8,37.6,974.326,-135.0,0.0,10.0,48.40144,13.4494,324.5
37964,25.6,37.5,973.277,10.227,12.0,48.3991,13.45266,341.8,-113.0,23.8,37.7,974.299,-135.0,0.0,10.0,48.40144,13.4494,324.5
37964,25.6,37.5,973.273,10.198,12.0,48.3991,13.45266,341.8,-111.0,23.8,37.9,974.351,-135.0,0.0,10.0,48.40144,13.44939,324.5
37964,25.6,37.5,973.249,10.176,12.0,48.3991,13.45266,341.8,-111.0,23.7,38.1,974.336,-135.0,0.0,10.0,48.40144,13.44939,324.4
37965,25.6,37.5,973.272,10.205,12.0,48.3991,13.45266,341.8,-112.0,23.7,38.3,974.312,-135.0,0.0,10.0,48.40144,13.44939,324.4
37965,25.6,37.5,973.292,10.19,12.0,48.3991,13.45266,341.8,-114.0,23.7,38.4,974.356,-135.0,0.0,10.0,48.40144,13.44938,324.4
37965,25.6,37.5,973.284,10.263,12.0,48.3991,13.45267,341.7,-112.0,23.8,38.4,974.383,-135.0,0.0,9.0,48.40144,13.44938,324.0
